Source,Target,Weights
o,dnik,3
o,stry,3
o,rowy,3
o,go,3
o,nista,3
o,miczny,3
o,let,3
o,teista,3
o,ton,3
o,ran,3
o,dzieln,3
o,ści,3
o,nka,3
o,jrza,3
o,centr,3
o,jeb,3
o,czerwony,3
o,sa,3
o,mow,3
o,ru,3
o,wolny,3
o,śniejszy,3
o,kres,3
o,ista,3
o,praw,3
o,rażenie,3
o,dki,3
o,sy,3
o,giczny,3
o,śny,3
o,lić,3
o,tak,3
o,rówka,3
o,chać,3
o,gar,3
o,ziom,3
o,dział,3
o,nat,3
o,ruchać,3
o,eta,3
o,meta,3
o,ik,3
o,pyt,3
o,tor,3
o,rek,3
o,rnik,3
o,lia,3
o,średni,3
o,bek,3
o,stawić,3
o,wić,3
o,sm,3
o,wny,3
o,rzech,3
o,cowy,3
o,lewa,3
o,rzeć,3
o,ster,3
o,śl,3
o,lik,3
ro,i,3
ro,ba,3
ro,ź,3
l,ądać,3
l,ora,3
l,op,3
l,otka,3
l,ow,3
l,mowy,3
l,ernik,3
l,any,3
l,ata,3
l,es,3
l,ok,3
l,and,3
l,od,3
l,aczka,3
l,erz,3
l,eni,3
l,ękać,3
l,uć,3
l,to,3
l,izm,3
l,ust,3
l,iższy,3
l,ecz,3
l,anie,3
l,um,3
l,czeć,3
l,acz,3
l,czy,3
l,udz,3
l,br,3
l,eć,3
l,una,3
l,enda,3
l,alka,3
g,rać,3
g,orze,3
g,um,3
g,wał,3
g,arski,3
g,oda,3
g,ał,3
g,niony,3
g,aj,3
g,rafia,3
g,rzesz,3
g,am,3
g,rzeczn,3
g,ol,3
g,oga,3
g,łów,3
g,otować,3
g,iel,3
g,aniec,3
g,enda,3
g,war,3
g,lo,3
g,ier,3
g,arnia,3
g,lon,3
g,iet,3
g,inia,3
g,ana,3
g,lina,3
g,nić,3
li,cz,3
li,wy,3
li,f,3
ga,j,3
ga,ni,3
to,t,3
to,b,3
to,i,3
to,ł,3
ato,w,3
ato,l,3
ły,wa,3
ły,n,3
ż,nia,3
ż,owa,3
ż,yk,3
ż,ek,3
ż,em,3
ż,alny,3
ż,on,3
ż,awka,3
ż,ąd,3
ż,uma,3
ż,nica,3
ż,eni,3
ż,et,3
ż,eniec,3
ż,cz,3
ż,c,3
k,szta,3
k,art,3
k,tura,3
k,łu,3
k,lub,3
k,ryt,3
k,ab,3
k,ró,3
k,aj,3
k,ost,3
k,rt,3
k,oński,3
k,ała,3
k,ata,3
k,ik,3
k,owni,3
k,iw,3
k,lik,3
k,arni,3
k,ciarz,3
k,su,3
k,az,3
k,tywny,3
k,roni,3
k,rowy,3
k,ładn,3
k,ami,3
k,rzy,3
k,ub,3
k,ój,3
k,alka,3
k,lin,3
k,ote,3
k,oić,3
k,ter,3
k,atar,3
k,uc,3
k,ija,3
k,ucha,3
ł,asz,3
ł,awka,3
ł,yk,3
ł,ud,3
ł,czesny,3
ł,us,3
ł,ożyć,3
ł,ód,3
ł,uchać,3
ł,adanie,3
ł,acz,3
ł,odziej,3
ł,ma,3
ł,ani,3
ł,aczka,3
ł,ter,3
ł,opa,3
ł,ęb,3
ł,owiec,3
ł,kole,3
ł,awny,3
ł,oż,3
ł,ąd,3
ł,aść,3
ł,anie,3
y,nka,3
y,miot,3
y,rażenie,3
y,rz,3
y,mentować,3
y,ma,3
y,mny,3
y,kl,3
y,ci,3
y,gar,3
y,ja,3
y,bitniejszy,3
y,żyna,3
y,lo,3
y,cze,3
y,nić,3
y,bor,3
y,nosić,3
y,war,3
y,ruchać,3
y,kawka,3
y,cza,3
y,kt,3
y,szka,3
y,zny,3
y,ższy,3
y,mis,3
y,raz,3
y,wers,3
y,nienie,3
y,kiet,3
y,puścić,3
y,zon,3
y,dzi,3
y,pra,3
y,prze,3
y,dny,3
y,ste,3
y,cho,3
y,bu,3
y,kres,3
y,dszy,3
y,ba,3
y,wolny,3
y,łka,3
y,prawiać,3
y,nek,3
najw,i,3
ź,lejszy,3
ź,nik,3
ź,liwy,3
ź,li,3
ź,ród,3
ź,re,3
ź,bi,3
ź,liw,3
ź,na,3
ź,dzik,3
naj,za,3
naj,mniejszy,3
naj,st,3
w,yl,3
w,idło,3
w,id,3
w,ed,3
w,zi,3
w,izy,3
w,adzać,3
w,do,3
w,łos,3
w,ały,3
w,ierz,3
w,arz,3
w,aty,3
w,eniec,3
w,zaj,3
w,dzi,3
w,ak,3
w,ach,3
w,arski,3
w,ysy,3
w,adzić,3
w,ur,3
w,oń,3
w,iecz,3
w,oda,3
w,ol,3
w,acha,3
w,aśniejszy,3
w,ność,3
w,ał,3
w,stwo,3
w,ół,3
w,ys,3
w,el,3
w,ja,3
w,etka,3
w,owiec,3
w,ist,3
w,cza,3
w,rażenie,3
w,ilny,3
w,et,3
w,om,3
w,enda,3
ra,wnik,3
ra,i,3
wy,z,3
wy,?,3
p,różni,3
p,acja,3
p,lans,3
p,ota,3
p,uter,3
p,ed,3
p,ala,3
p,łat,3
p,ter,3
p,ark,3
p,lan,3
p,io,3
p,uś,3
p,rowa,3
p,it,3
p,erski,3
p,iz,3
p,si,3
p,ig,3
p,oić,3
p,oja,3
p,ik,3
p,odkr,3
p,lewa,3
p,lew,3
p,tologia,3
p,ewnik,3
p,acha,3
p,ieć,3
p,och,3
czy,ń,3
ży,n,3
c,ią,3
c,ek,3
c,zk,3
c,ał,3
c,is,3
c,zęst,3
c,zar,3
c,ow,3
c,nik,3
c,ni,3
c,jon,3
c,ałko,3
c,zko,3
c,et,3
c,ed,3
c,erz,3
c,hu,3
c,zyt,3
c,zyn,3
c,ak,3
c,udny,3
c,ic,3
c,zas,3
c,zony,3
c,alić,3
c,ówka,3
c,ech,3
z,amo,3
z,ądzić,3
z,ność,3
z,erw,3
z,emi,3
z,oni,3
z,towy,3
z,egar,3
z,dzie,3
z,bier,3
z,ian,3
z,chowiec,3
z,yś,3
z,ołów,3
z,uk,3
z,aja,3
z,ara,3
z,ier,3
z,nosić,3
z,ywi,3
z,naw,3
z,alszy,3
z,po,3
z,idło,3
z,af,3
z,wie,3
z,nośny,3
z,do,3
z,asownik,3
z,dny,3
z,erniejszy,3
z,ycja,3
z,ur,3
z,ór,3
z,ysta,3
z,aniec,3
z,ina,3
z,zowy,3
z,łamać,3
z,ul,3
z,ęp,3
z,rozum,3
z,ad,3
z,li,3
z,in,3
z,kla,3
z,mow,3
z,ywa,3
z,ały,3
z,ywać,3
z,pros,3
z,jeb,3
z,erski,3
z,op,3
po,u,3
po,ń,3
d,zki,3
d,awa,3
d,atek,3
d,wi,3
d,usz,3
d,rzeć,3
d,rad,3
d,zw,3
d,pad,3
d,niowy,3
d,wie,3
d,awny,3
d,obr,3
d,ola,3
d,nienie,3
d,wodn,3
d,ne,3
d,uma,3
d,io,3
d,łu,3
d,róż,3
d,ważny,3
d,yl,3
d,owc,3
d,wó,3
d,ważniejszy,3
d,rzec,3
d,rab,3
d,zia,3
d,ian,3
d,yna,3
d,stawa,3
d,liw,3
d,st,3
d,onim,3
d,ystyczny,3
d,ba,3
d,awniejszy,3
d,pis,3
d,pi,3
d,kryć,3
d,stawić,3
d,akać,3
d,si,3
d,onka,3
d,mowy,3
d,czy,3
d,wers,3
ę,bi,3
ę,cza,3
ę,ski,3
ę,szy,3
ę,gie,3
ę,zy,3
ę,bek,3
ę,tr,3
ę,ki,3
ę,tszy,3
ę,zyczny,3
ę,po,3
asz,a,3
asz,e,3
szcz,ać,3
cz,ność,3
cz,ar,3
cz,c,3
cz,ł,3
ła,ź,3
ła,z,3
ła,?,3
ła,n,3
b,rowiec,3
b,us,3
b,iel,3
b,ród,3
b,ow,3
b,oczny,3
b,omb,3
b,czy,3
b,eryjski,3
b,uć,3
b,ratowa,3
b,uch,3
b,sy,3
b,os,3
b,ina,3
b,ijski,3
b,ara,3
b,oski,3
b,oda,3
b,rażenie,3
b,ana,3
b,and,3
b,so,3
b,uta,3
b,rom,3
b,iec,3
b,nienie,3
b,etyczny,3
b,ność,3
b,ecz,3
j,ono,3
j,st,3
j,wymiarowy,3
j,awi,3
j,usz,3
j,ow,3
j,do,3
j,anka,3
j,onar,3
j,og,3
j,edy,3
j,ał,3
j,ap,3
j,oga,3
j,ta,3
j,awny,3
j,un,3
j,una,3
j,nia,3
j,cki,3
j,ze,3
j,as,3
j,gon,3
j,ster,3
e,dka,3
e,mowy,3
e,rt,3
e,nty,3
e,lszy,3
e,tek,3
e,stawić,3
e,onia,3
e,mię,3
e,żowy,3
e,żny,3
e,bić,3
e,sowy,3
e,rium,3
e,ca,3
e,rw,3
e,zowy,3
e,inowy,3
e,rowa,3
e,rn,3
e,matyczny,3
e,ja,3
e,pe,3
e,dzenie,3
e,mia,3
e,ban,3
e,be,3
e,bel,3
e,fi,3
e,grze,3
e,let,3
e,sy,3
e,cie,3
e,mio,3
e,sk,3
e,stwo,3
e,dziel,3
e,an,3
e,al,3
e,rat,3
e,br,3
e,zd,3
e,rniejszy,3
e,tny,3
e,czko,3
e,lski,3
e,ró,3
e,ner,3
e,ologia,3
e,chać,3
e,ometr,3
e,nek,3
e,rowy,3
e,onowy,3
e,min,3
e,dzie,3
e,rzysta,3
e,praw,3
e,lnik,3
e,og,3
e,rówka,3
e,żenie,3
e,ograficzny,3
e,chowiec,3
e,towy,3
e,wód,3
e,rac,3
e,szczyk,3
e,wia,3
bro,n,3
le,l,3
er,yczny,3
er,yna,3
er,ać,3
ier,a,3
ier,o,3
ie,ni,3
ie,nie,3
ie,dzenie,3
u,su,3
u,czes,3
u,rowiec,3
u,mia,3
u,kanie,3
u,tro,3
u,lny,3
u,prawiać,3
u,kryć,3
u,szczyk,3
u,ki,3
u,rować,3
u,al,3
u,si,3
u,chszy,3
u,kl,3
u,nd,3
u,puścić,3
u,rka,3
u,pka,3
u,str,3
u,wymiarowy,3
u,kcyjny,3
u,leczka,3
u,dy,3
u,zi,3
u,zyn,3
u,pier,3
u,kur,3
u,mać,3
u,ski,3
u,zeczka,3
u,twór,3
u,zyk,3
u,szczać,3
u,bel,3
u,miały,3
u,czyć,3
u,tologiczny,3
u,rnik,3
u,staw,3
u,ło,3
u,prz,3
u,nie,3
pust,k,3
pust,u,3
nia,d,3
nia,ł,3
ust,a,3
ust,r,3
ust,n,3
st,ro,3
st,ęp,3
yn,e,3
yn,t,3
?,po,3
?,mo,3
?,ka,3
?,czar,3
?,mor,3
?,cza,3
?,jazd,3
rz,m,3
ani,c,3
ani,p,3
wcz,a,3
as,e,3
as,p,3
za,i,3
za,ś,3
al,in,3
ba,o,3
os,r,3
os,owy,3
sz,eczka,3
sz,am,3
sz,eć,3
sz,ma,3
sz,pa,3
ki,w,3
ki,b,3
dz,ać,3
dz,e,3
dz,o,3
dz,y,3
h,lo,3
h,iński,3
h,aniczny,3
h,rom,3
h,erb,3
h,olo,3
h,iczny,3
h,arski,3
h,odn,3
h,um,3
h,rze,3
en,r,3
en,u,3
ty,ń,3
ut,k,3
ut,e,3
ut,n,3
na,b,3
na,lniejszy,3
na,wa,3
na,ł,3
zy,j,3
zy,ń,3
zy,ż,3
zy,p,3
zy,b,3
ni,cz,3
ni,ł,3
ni,czny,3
ni,w,3
ni,g,3
szy,s,3
ta,li,3
gl,i,3
ja,t,3
ac,y,3
ac,B,3
la,wa,3
la,p,3
la,ń,3
ować,?,3
de,p,3
kr,ze,3
kr,ywa,3
iec,i,3
szyn,i,3
nka,r,3
kre,a,3
re,g,3
us,u,3
us,y,3
us,eczka,3
bu,c,3
bu,s,3
bu,w,3
but,e,3
ró,z,3
ró,ś,3
ó,wić,3
ó,dz,3
ó,lika,3
ó,dło,3
ó,rek,3
ó,le,3
ó,bować,3
ó,wić się,3
ó,ś,3
ó,tk,3
ó,ba,3
ó,cz,3
bak,s,3
ab,r,3
ab,o,3
aba,w,3
aba,ż,3
aba,ł,3
ak,cja,3
lek,k,3
pi,g,3
pis,a,3
is,j,3
is,m,3
ser,w,3
ob,w,3
ob,g,3
owa,w,3
owa,t,3
owa,r,3
owa,k,3
ał,p,3
id,ł,3
id,i,3
oni,czny,3
oni,z,3
tani,e,3
ata,n,3
bra,ć,3
mi,na,3
rzy,p,3
rzy,j,3
rzy,c,3
przy,w,3
przy,z,3
it,w,3
it,y,3
ar,ż,3
ar,ia,3
ar,owanie,3
ur,g,3
ura,r,3
ura,s,3
ura,g,3
si,d,3
si,u,3
si,er,3
si,l,3
ło,c,3
per,o,3
f,ran,3
f,iz,3
f,asz,3
f,ul,3
f,ot,3
f,ur,3
f,oto,3
f,iński,3
f,ir,3
f,es,3
f,et,3
fik,a,3
pe,t,3
pe,w,3
pe,s,3
on,ą,3
on,ta,3
on,d,3
tu,d,3
ew,c,3
ew,i,3
ń,ca,3
pierd,o,3
ol,niejszy,3
dol,n,3
dol,i,3
ost,o,3
ost,e,3
krze,m,3
mow,a,3
mow,n,3
amo,ż,3
amo,t,3
mo,k,3
mo,g,3
oc,y,3
aj,n,3
aj,o,3
aj,m,3
aj,g,3
ocen,i,3
ocen,a,3
oce,t,3
or,an,3
or,owy,3
or,cz,3
or,gan,3
ko,j,3
ko,i,3
ok,ó,3
ok,ł,3
br,e,3
ą,bek,3
ą,dny,3
ą,danie,3
ą,cha,3
ą,sać,3
ą,ść,3
ą,kol,3
ru,ś,3
ru,w,3
ch,odni,3
ch,ę,3
up,l,3
up,a,3
up,e,3
up,t,3
up,k,3
ad,n,3
ad,w,3
ad,ł,3
zna,n,3
zna,m,3
zn,ą,3
ek,e,3
żół,t,3
tek,a,3
ed,y,3
do,kona,3
do,n,3
buc,h,3
graf,i,3
raf,a,3
ag,ra,3
kor,n,3
kor,e,3
sta,ć,3
sta,ł,3
ren,a,3
ren,i,3
ren,c,3
sy,p,3
sy,l,3
sy,j,3
rum,a,3
an,ż,3
ś,wierz,3
ś,nić,3
ś,wiec,3
ś,lub,3
ś,niowy,3
ś,cian,3
ś,la,3
ś,cić,3
ś,pie,3
ś,wię,3
ś,nie,3
ś,lić się,3
oma,tyczny,3
man,a,3
wi,ać,3
wi,dzenie,3
wi,cz,3
wi,ć się,3
rt,k,3
wier,d,3
owy,m,3
wo,t,3
wo,ń,3
wo,?,3
sk,l,3
sk,w,3
woj,s,3
woj,o,3
da,ż,3
da,p,3
ląd,a,3
zu,m,3
wa,k,3
wa,ha,3
wa,m,3
wa,f,3
kwa,r,3
ma,p,3
ma,ż,3
ma,czny,3
ma,i,3
cebul,a,3
cebul,k,3
bul,w,3
ula,t,3
ce,s,3
ce,c,3
ce,ni,3
se,p,3
se,b,3
powie,d,3
ist,o,3
te,a,3
te,c,3
te,i,3
ór,z,3
bi,ó,3
bi,k,3
cho,m,3
cho,d,3
cho,w,3
prze,ć,3
prze,t,3
rój,k,3
oz,i,3
oz,y,3
oz,p,3
oz,d,3
oz,m,3
zo,d,3
zo,ł,3
dal,i,3
miedzia,n,3
miedzia,k,3
zi,ać,3
zi,n,3
zi,r,3
iedzi,a,3
iedzi,e,3
ia,ro,3
kon,a,3
nt,a,3
tr,i,3
sło,m,3
sło,w,3
sło,ń,3
od,ó,3
ate,k,3
el,f,3
bal,u,3
lon,d,3
lo,p,3
lo,d,3
ara,d,3
ara,n,3
rab,k,3
ucz,c,3
ucz,t,3
ucze,ń,3
czek,a,3
bez,k,3
bez,l,3
in,w,3
in,f,3
ter,o,3
ąd,z,3
ha,s,3
ha,m,3
cha,w,3
cha,c,3
top,o,3
op,l,3
op,y,3
ola,k,3
rzep,a,3
ze,j,3
pa,ro,3
pa,st,3
pa,ń,3
ówka,r,3
je,k,3
wyr,ó,3
że,la,3
że,m,3
tan,g,3
tan,d,3
tan,o,3
tan,a,3
oga,r,3
og,n,3
og,o,3
for,y,3
ród,ł,3
ód,c,3
najb,r,3
pos,i,3
ada,n,3
łó,d,3
łó,w,3
ap,r,3
ap,ń,3
ap,a,3
chlor,o,3
bie,t,3
bie,l,3
bie,k,3
bie,ń,3
ora,n,3
yc,i,3
ry,w,3
dni,c,3
odni,k,3
dzić,?,3
ić,?,3
dzi,n,3
dzi,wi,3
dzi,ą,3
ci,ch,3
ci,wszy,3
ci,ż,3
gra,ć,3
gra,b,3
gra,m,3
ig,a,3
ig,w,3
my,t,3
my,ć,3
em,y,3
em,u,3
em,a,3
yt,k,3
yt,y,3
mas,k,3
mas,a,3
mas,y,3
dra,p,3
dra,d,3
dr,e,3
dr,ż,3
uch,n,3
nty,c,3
ieś,ć,3
awa,r,3
ku,k,3
ku,w,3
ku,ź,3
pro,f,3
pro,l,3
mie,w,3
mie,ń,3
emi,e,3
emi,n,3
emi,s,3
far,b,3
świ,er,3
roz,c,3
pow,i,3
pow,r,3
pl,a,3
pl,ą,3
syn,t,3
pod,l,3
pod,w,3
pod,s,3
pod,k,3
db,i,3
bo,b,3
bo,e,3
bo,t,3
bo,z,3
cy,k,3
orze,c,3
gor,z,3
najz,w,3
najz,i,3
az,a,3
az,u,3
gł,a,3
fa,l,3
su,m,3
su,r,3
su,s,3
acha,r,3
acha,ć,3
tę,ż,3
zać,?,3
dza,ć,3
szta,ł,3
wiz,j,3
wiz,a,3
zd,k,3
zd,e,3
zd,n,3
iz,j,3
iz,y,3
iz,b,3
iz,m,3
fo,s,3
ho,n,3
ster,e,3
ster,o,3
cent,r,3
me,s,3
me,da,3
dys,p,3
str,y,3
dy,t,3
dy,r,3
dy,c,3
dy,cja,3
dy,j,3
dy,p,3
spa,c,3
iel,e,3
oł,ó,3
go,ł,3
go,r,3
uma,ć,3
um,n,3
um,l,3
um,u,3
kł,y,3
staw,c,3
staw,k,3
il,o,3
sie,n,3
sie,r,3
zaj,e,3
jabł,u,3
jabł,o,3
szko,p,3
szk,a,3
bł,ę,3
łu,ć,3
łu,ż,3
łu,d,3
lot,k,3
stra,t,3
arz,a,3
ton,ą,3
kar,e,3
kar,c,3
sma,k,3
sma,r,3
zes,t,3
mot,o,3
res,j,3
res,t,3
uk,a,3
uk,i,3
uk,o,3
S,er,3
S,łow,3
oka,u,3
oka,z,3
najg,o,3
najg,ł,3
najg,r,3
najg,ę,3
rom,o,3
rom,a,3
rom,b,3
rom,e,3
kom,i,3
kom,o,3
kom,u,3
komp,u,3
sza,m,3
sza,j,3
sza,c,3
pyta,n,3
eb,i,3
eb,r,3
eb,e,3
dzie,j,3
ocz,y,3
ep,l,3
ład,n,3
cie,s,3
cie,n,3
szla,k,3
aryn,a,3
ub,i,3
ub,k,3
ub,o,3
ub,e,3
śr,e,3
traw,k,3
ały,?,3
aro,w,3
cza,n,3
mor,a,3
ks,p,3
ks,y,3
eks,k,3
czes,t,3
ele,r,3
ele,w,3
ele,g,3
ele,ń,3
ask,i,3
ask,ó,3
kt,r,3
kt,y,3
obr,a,3
brz,o,3
gó,w,3
skr,z,3
mac,e,3
szkod,l,3
osz,ka,3
średni,c,3
średni,k,3
wr,z,3
wr,ó,3
bó,l,3
zł,o,3
mat,o,3
rad,y,3
rad,a,3
czerwon,a,3
erz,u,3
fi,k,3
fi,c,3
icie,l,3
usz,k,3
usz,c,3
mon,a,3
różni,ć,3
róż,ni,3
róż,a,3
uni,k,3
twierdz,e,3
strz,y,3
rzem,i,3
mię,t,3
poli,t,3
poli,g,3
par,ia,3
par,ó,3
eta,n,3
wyb,o,3
eg,o,3
zon,t,3
ron,o,3
ron,i,3
niep,r,3
niep,e,3
niep,o,3
praw,ny,3
kur,z,3
kur,y,3
kur,i,3
kur,w,3
lec,a,3
krzy,c,3
ziom,a,3
ziom,e,3
ziom,k,3
zk,a,3
bl,o,3
bl,u,3
bl,e,3
rm,a,3
strze,g,3
ostr,y,3
znacz,y,3
przest,a,3
przes,t,3
przes,z,3
ke,r,3
zw,o,3
io,p,3
io,k,3
io,d,3
io,t,3
rs,t,3
żer,d,3
lans,z,3
apa,l,3
apa,t,3
sad,z,3
obie,t,3
lub,y,3
kl,u,3
licz,b,3
licz,a,3
licz,k,3
and,z,3
and,a,3
ran,ż,3
ran,s,3
izy,t,3
kw,o,3
zie,w,3
zie,l,3
łod,s,3
łod,z,3
łod,y,3
lan,g,3
ów,a,3
kan,i,3
psychol,o,3
mil,i,3
P,ho,3
P,er,3
P,ola,3
ec,k,3
awi,e,3
au,k,3
au,m,3
ars,j,3
fe,n,3
ast,o,3
osta,t,3
mia,ł,3
zap,a,3
zap,o,3
ach,m,3
ach,ę,3
ecz,y,3
omb,a,3
jon,a,3
śni,a,3
śni,e,3
czar,n,3
ownik,?,3
he,k,3
przeciw,o,3
przeciw,d,3
przeciw,n,3
kole,n,3
kole,k,3
dykt,a,3
dym,n,3
owni,k,3
ryt,o,3
sto,l,3
sto,k,3
sto,d,3
grz,b,3
jaj,e,3
jaj,o,3
oba,l,3
słucha,w,3
sł,u,3
sł,a,3
sł,i,3
gu,r,3
elektro,n,3
elektro,c,3
młod,z,3
młod,y,3
młod,s,3
ska,z,3
ęcz,e,3
ęcz,ny,3
zab,i,3
zab,a,3
mu,l,3
ęt,n,3
ńczy,k,3
now,o,3
now,s,3
świat,a,3
wiat,r,3
aty,w,3
pamię,t,3
łos,i,3
icz,a,3
war,zy,3
war,c,3
sp,i,3
sp,l,3
mord,a,3
rozmy,ś,3
śl,o,3
śl,i,3
śl,ę,3
bry,k,3
bry,l,3
bry,ł,3
opa,l,3
opa,t,3
jazd,y,3
wia,n,3
stro,n,3
stro,f,3
ygodn,i,3
bel,g,3
gar,o,3
gar,ś,3
gar,a,3
lic,h,3
sprz,ą,3
rat,r,3
rat,a,3
dwu,z,3
mier,ć,3
lewa,c,3
odkry,c,3
odkry,ć,3
kry,p,3
kry,w,3
kro,n,3
kro,w,3
wyż,e,3
kiet,a,3
kla,m,3
edy,k,3
edy,c,3
łę,b,3
tk,a,3
ln,i,3
kolej,n,3
lej,e,3
yw,y,3
yw,i,3
yw,a,3
rn,i,3
kos,m,3
kos,i,3
kos,y,3
pó,ł,3
kona,n,3
kona,ł,3
oko,na,3
ern,a,3
rozw,a,3
rozw,i,3
kła,d,3
kła,m,3
okr,o,3
tro,p,3
mio,t,3
dro,i,3
zyt,e,3
dziel,a,3
ziel,n,3
wil,i,3
wil,g,3
wil,ż,3
samo,g,3
sty,k,3
kana,p,3
kat,a,3
eme,n,3
unik,a,3
cena,r,3
met,i,3
awia,ć,3
lis,a,3
lis,z,3
gni,a,3
och,w,3
aż,a,3
pin,k,3
lk,a,3
lk,o,3
towar,z,3
szczer,b,3
szczer,y,3
czer,n,3
czer,p,3
danie,l,3
dob,y,3
tn,y,3
rzech,o,3
yb,i,3
gał,ą,3
rowa,d,3
pok,r,3
dziew,i,3
wym,y,3
ym,y,3
eni,c,3
łys,y,3
łys,o,3
pan,n,3
ej,f,3
gr,u,3
yj,a,3
iazd,o,3
rac,i,3
rac,j,3
ang,i,3
tys,e,3
so,w,3
part,y,3
ant,a,3
najn,o,3
najn,a,3
najn,e,3
miał,y,3
mies,i,3
latar,n,3
odwodn,i,3
wod,o,3
mocz,o,3
mocz,a,3
ści,g,3
ści,ę,3
pas,i,3
iecz,n,3
podpal,a,3
koc,h,3
dosta,w,3
grafi,a,3
towa,ć,3
ryn,k,3
grze,s,3
zesz,ł,3
koci,ą,3
spraw,a,3
światł,o,3
bab,c,3
ruc,z,3
lini,a,3
rud,n,3
szczy,p,3
gie,w,3
gie,r,3
gie,l,3
gie,z,3
pop,i,3
kop,i,3
naw,c,3
nio,n,3
rodzim,y,3
rodzim,a,3
aut,o,3
nian,y,3
kas,z,3
łama,r,3
łama,j,3
W,ali,3
przyp,r,3
ucha,r,3
potencja,ł,3
potencja,l,3
ywi,s,3
śledzi,o,3
pusz,cz,3
cia,ł,3
chan,i,3
neu,t,3
jeba,d,3
jeb,n,3
jeb,k,3
szczel,i,3
ark,o,3
nog,r,3
spr,o,3
spr,z,3
yst,a,3
yst,ka,3
yst,i,3
przyj,a,3
przyj,ą,3
przyj,m,3
blu,s,3
fizyk,a,3
una,k,3
stat,u,3
raw,i,3
raw,y,3
rozp,o,3
centr,y,3
rosta,t,3
-,czerwony,3
-,ma,3
auto,p,3
C,zi,3
zys,t,3
usi,a,3
ps,y,3
kosz,e,3
zia,ł,3
dow,ó,3
dow,c,3
najs,p,3
najs,z,3
najs,y,3
rzeczn,i,3
świe,c,3
świe,t,3
świe,ż,3
odziej,a,3
suk,i,3
oto,g,3
awian,i,3
stru,s,3
szpa,n,3
stw,o,3
uś,c,3
raba,r,3
sar,k,3
przep,r,3
miesz,k,3
gn,i,3
łon,i,3
łon,o,3
słon,i,3
słon,e,3
pierś,c,3
ste,m,3
bru,k,3
bru,d,3
ałko,w,3
dki,e,3
cier,z,3
G,rze,3
G,ru,3
tak,i,3
zer,p,3
zer,k,3
gło,s,3
gło,w,3
chłop,i,3
arc,h,3
prób,o,3
prób,ó,3
granicz,n,3
granicz,y,3
ciekaw,y,3
ciek,a,3
głó,w,3
poro,z,3
właściw,s,3
właściw,y,3
des,z,3
des,e,3
kret,n,3
wieś,ć,3
ładn,i,3
ami,e,3
alist,k,3
ometr,i,3
konse,k,3
chł,e,3
R,um,3
kam,i,3
hu,r,3
deszcz,o,3
deszcz,y,3
deszcz,ó,3
ien,i,3
ple,ś,3
pros,z,3
rów,i,3
rozum,i,3
zwyczajn,y,3
organ,i,3
iet,k,3
udz,k,3
mę,ż,3
dźwig,a,3
atar,y,3
skrz,y,3
E,tr,3
sa,?,2
sa,ł,2
m,ada,2
m,anga,2
m,pi,2
m,na,2
m,ania,2
m,iel,2
m,gła,2
m,gł,2
m,ut,2
m,ionowy,2
m,alistyczny,2
m,aryn,2
m,anda,2
m,pan,2
m,ika,2
m,bu,2
m,iana,2
m,agnet,2
m,iewać,2
m,iew,2
m,iot,2
m,anka,2
m,fo,2
m,ech,2
m,nieć,2
m,yć się,2
m,ono,2
m,acz,2
m,edy,2
m,onia,2
m,erować,2
m,ete,2
m,anty,2
m,oto,2
m,ił,2
m,og,2
m,urka,2
m,ato,2
m,lask,2
m,uta,2
m,ion,2
m,ometr,2
m,ierniejszy,2
m,okr,2
m,istka,2
m,arny,2
m,yl,2
m,no,2
m,ża,2
m,ostat,2
m,osta,2
m,nica,2
m,az,2
m,iz,2
m,pir,2
m,achow,2
m,arz,2
m,gl,2
m,uzy,2
m,rów,2
m,ask,2
m,oż,2
m,op,2
m,and,2
m,entowanie,2
m,ywać,2
m,arzenie,2
m,łodszy,2
m,awianie,2
m,uchać,2
m,ól,2
m,ność,2
m,una,2
m,usić,2
m,ra,2
s,id,2
s,oni,2
s,nowa,2
s,zew,2
s,sy,2
s,unąć,2
s,iczka,2
s,pol,2
s,adzać,2
s,łodszy,2
s,mak,2
s,uk,2
s,el,2
s,zeń,2
s,inus,2
s,tre,2
s,zab,2
s,tologia,2
s,tk,2
s,kwin,2
s,ól,2
s,kle,2
s,tnica,2
s,kre,2
s,eme,2
s,chodni,2
s,tro,2
s,tyczn,2
s,erow,2
s,kawka,2
s,ens,2
s,for,2
s,fo,2
s,wo,2
s,woj,2
s,iłek,2
s,erować,2
s,chleb,2
s,zech,2
s,krze,2
s,iad,2
s,łom,2
s,ała,2
s,izm,2
s,poży,2
s,ik,2
s,sa,2
s,ula,2
s,od,2
s,ób,2
s,inka,2
s,iec,2
s,ator,2
s,ionowy,2
s,ądzić,2
s,encja,2
s,kawy,2
s,isko,2
s,ark,2
s,owni,2
s,łynniejszy,2
s,tia,2
s,prawniejszy,2
s,tow,2
s,kowy,2
s,cen,2
s,towanie,2
s,obo,2
s,arkać,2
s,per,2
s,ować się,2
s,tw,2
s,enka,2
s,parag,2
s,ep,2
s,kie,2
s,up,2
s,kret,2
s,tęp,2
s,ema,2
s,prawi,2
s,arn,2
s,inia,2
s,obi,2
s,ian,2
s,zc,2
s,le,2
s,me,2
s,kl,2
s,chować,2
s,mon,2
s,ych,2
s,kładnik,2
s,kański,2
